0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 2, 2, 5, 0, 0, 4, 2, 2, 5,
18, 18, 18, 18, 5, 4, 18, 18, 18, 18,
14, 14, 14, 14, 14, 14, 14, 14, 14, 15,
18, 23, 18, 23, 18, 18, 23, 18, 23, 22,
18, 31, 18, 31, 18, 18, 31, 18, 31, 22,
18, 18, 18, 18, 18, 18, 18, 18, 18, 22,
18, 23, 18, 23, 18, 18, 23, 18, 23, 22,
18, 31, 18, 31, 18, 18, 31, 18, 31, 22,
26, 26, 26, 18, 18, 18, 18, 18, 26, 30,
34, 34, 34, 26, 19, 20, 21, 26, 38, 38,
34, 34, 34, 34, 27, 28, 29, 38, 38, 38,
34, 34, 34, 34, 35, 36, 37, 38, 38, 38,
41, 42, 42, 42, 42, 42, 42, 42, 42, 43
