0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
0, 1, 18, 18, 18, 18, 18, 18, 18, 18,
25, 18, 24, 18, 18, 24, 18, 18, 24, 18,
25, 18, 31, 18, 18, 31, 18, 18, 31, 18,
3, 10, 10, 10, 11, 12, 13, 10, 10, 10,
7, 18, 18, 18, 18, 18, 18, 18, 18, 18,
7, 26, 24, 26, 19, 20, 21, 26, 24, 26,
7, 26, 31, 26, 27, 28, 29, 26, 31, 26,
46, 10, 10, 10, 10, 10, 10, 10, 10, 10,
7, 18, 24, 19, 20, 20, 21, 18, 24, 18,
7, 26, 31, 27, 28, 28, 29, 26, 31, 26,
39, 34, 34, 34, 34, 34, 34, 34, 34, 34
