0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 4, 5, 0, 0, 0, 0,
0, 0, 0, 4, 18, 18, 5, 0, 0, 0,
0, 0, 4, 18, 18, 18, 18, 5, 0, 0,
0, 9, 10, 10, 10, 10, 10, 14, 15, 0,
0, 17, 24, 18, 24, 24, 18, 24, 22, 0,
0, 17, 31, 18, 31, 31, 18, 31, 22, 0,
0, 17, 18, 18, 18, 18, 18, 18, 22, 0,
0, 17, 24, 18, 19, 20, 21, 24, 22, 0,
40, 17, 31, 18, 6, 7, 8, 31, 22, 16,
9, 10, 10, 11, 12, 12, 12, 12, 13, 15,
17, 24, 18, 19, 20, 21, 19, 20, 21, 22,
25, 32, 26, 27, 28, 29, 27, 28, 29, 30,
33, 33, 33, 33, 33, 33, 35, 36, 37, 39
