0, 0, 0, 4, 2, 2, 5, 0, 0, 0,
0, 0, 4, 11, 12, 12, 13, 5, 0, 0,
0, 4, 24, 19, 20, 20, 21, 24, 5, 0,
4, 18, 31, 6, 7, 7, 8, 31, 18, 5,
18, 18, 18, 10, 10, 14, 14, 18, 18, 18,
18, 18, 18, 24, 18, 19, 20, 21, 18, 18,
18, 18, 18, 31, 18, 6, 7, 8, 18, 18,
10, 10, 10, 10, 10, 10, 10, 10, 10, 10,
18, 24, 18, 19, 20, 21, 18, 18, 24, 18,
18, 31, 18, 6, 7, 8, 18, 18, 31, 18,
10, 10, 10, 10, 10, 10, 10, 10, 10, 10,
18, 18, 24, 19, 20, 20, 21, 24, 18, 18,
26, 26, 32, 27, 28, 28, 29, 32, 26, 26,
33, 34, 34, 35, 36, 36, 37, 38, 38, 39,
41, 42, 42, 42, 42, 42, 42, 42, 42, 43
