0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 1, 2, 0, 0, 0, 0,
0, 0, 0, 1, 26, 26, 2, 0, 0, 0,
0, 0, 1, 18, 24, 24, 18, 2, 0, 0,
0, 1, 18, 18, 31, 31, 18, 18, 2, 0,
9, 10, 10, 10, 11, 12, 13, 14, 14, 15,
17, 18, 18, 23, 18, 24, 18, 23, 18, 22,
17, 18, 18, 31, 18, 31, 18, 31, 18, 22,
17, 18, 18, 24, 19, 20, 21, 24, 18, 22,
25, 26, 26, 31, 27, 28, 29, 31, 26, 30,
33, 34, 34, 34, 35, 36, 37, 32, 32, 38,
41, 42, 42, 42, 42, 42, 42, 42, 42, 43
