0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 5, 5, 5, 6, 0, 0, 0, 0, 0,
18, 18, 18, 18, 30, 0, 0, 0, 0, 0,
20, 21, 23, 18, 30, 0, 0, 0, 0, 0,
28, 29, 31, 18, 30, 0, 0, 0, 0, 0,
36, 37, 54, 54, 38, 0, 0, 0, 0, 0,
42, 42, 42, 42, 42, 43, 0, 0, 0, 0,
50, 50, 50, 50, 50, 50, 43, 0, 0, 0,
50, 50, 50, 50, 41, 42, 42, 42, 43, 0,
50, 50, 50, 41, 50, 50, 50, 50, 51, 0,
50, 41, 42, 42, 42, 42, 43, 50, 51, 0,
50, 49, 50, 50, 50, 50, 50, 43, 51, 0,
50, 49, 50, 50, 50, 50, 50, 50, 43, 0,
41, 42, 42, 42, 42, 42, 42, 42, 42, 43
